peaks minus_1 plus_1
chr1:3090384-3091665 1 40
chr1:3096357-3097638 32 13
chr1:3102835-3104116 16 31
chr1:3104529-3105810 34 8
chr1:3186481-3187762 12 0
chr1:3191291-3192572 28 29
chr1:3191816-3193233 51 27
chr1:3203963-3205244 21 25
chr1:3206501-3207782 28 11
chr1:3215896-3217177 9 20
chr1:3216281-3217562 9 18
chr1:3229161-3230588 253 317
chr1:3239779-3241060 20 17
chr1:3255770-3257051 1 10
chr1:3283129-3284530 1 2
chr1:3302333-3303614 16 28
chr1:3318743-3320024 3 20
chr1:3320832-3322113 17 15
chr1:3334391-3335672 27 10
chr1:3347284-3348751 24 19
chr1:3375686-3376967 29 5
chr1:3376769-3378050 4 10
chr1:3383205-3384486 38 12
chr1:3384448-3385729 9 30
chr1:3410703-3411984 12 2
chr1:3412028-3413309 23 64
chr1:3420139-3421578 49 43
chr1:3420936-3422217 24 57
chr1:3432441-3433722 15 11
chr1:3503584-3504865 1 13
chr1:3532114-3533395 1 4
chr1:3547857-3549273 48 53
chr1:3549112-3550393 2 1
chr1:3568081-3569362 5 12
chr1:3591528-3592809 8 24
chr1:3599096-3600377 10 18
chr1:3655033-3656314 3 20
chr1:3658501-3659782 25 19
chr1:3700338-3701619 7 12
chr1:3738112-3739393 4 8
chr1:3745579-3746860 22 17
chr1:3752597-3753878 15 7
chr1:3753261-3754542 17 3
chr1:3764638-3765919 2 24
chr1:3801942-3803223 4 22
chr1:3823318-3824599 6 18
chr1:3832071-3833352 4 24
chr1:4008108-4009389 1 6
chr1:4011773-4013054 34 21
chr1:4051535-4052816 6 28
chr1:4064373-4065654 0 1
chr1:4069518-4070799 10 1
chr1:4092607-4093888 10 27
chr1:4142454-4143735 4 7
chr1:4147153-4148494 7 76
chr1:4168550-4169831 13 6
chr1:4169986-4171267 3 26
chr1:4170738-4172019 18 15
chr1:4187228-4188509 5 5
chr1:4191493-4192774 13 27
chr1:4205744-4207025 24 0
chr1:4218337-4219618 23 3
chr1:4237305-4238586 7 6
chr1:4253279-4254560 0 7
chr1:4272629-4273910 34 0
chr1:4279543-4280824 15 3
chr1:4327397-4328983 43 30
chr1:4358670-4359951 1 0
chr1:4401806-4403087 12 6
chr1:4439525-4440806 21 25
chr1:4440089-4441452 31 34
chr1:4482409-4483690 6 0
chr1:4485083-4486526 7 20
chr1:4489346-4490627 2 31
chr1:4516189-4517470 4 5
chr1:4522262-4523712 38 27
chr1:4540732-4542013 7 28
chr1:4547271-4548552 3 13
chr1:4551741-4553022 9 16
chr1:4563743-4565024 32 3
chr1:4576337-4577618 7 42
chr1:4579462-4580743 1 0
chr1:4627858-4629139 0 3
chr1:4671492-4672773 11 14
chr1:4697273-4698766 88 33
chr1:4712349-4713630 10 20
chr1:4725991-4727272 10 50
chr1:4726511-4727792 6 58
chr1:4735793-4737074 8 18
chr1:4762446-4763773 22 11
chr1:4778402-4779683 0 28
chr1:4792990-4794271 13 15
chr1:4803154-4804435 5 29
chr1:4832952-4834233 14 7
chr1:4925324-4926605 0 3
chr1:5004749-5006030 12 2
chr1:5022562-5023843 32 12
chr1:5024772-5026177 32 26
chr1:5035591-5036872 1 31
chr1:5045809-5047090 13 0
chr1:5065227-5066508 2 18
chr1:5117994-5119275 18 4
chr1:5142947-5144752 30 36
chr1:5157952-5159233 6 4
chr1:5216322-5217644 10 17
chr1:5278860-5280141 0 19
chr1:5303473-5304754 4 2
chr1:5325151-5326432 17 25
chr1:5337549-5338830 35 11
chr1:5346604-5347885 0 23
chr1:5354333-5355614 3 14
chr1:5367164-5368445 0 11
chr1:5384973-5386254 6 8
chr1:5405520-5406801 13 8
chr1:5408372-5409732 119 78
chr1:5448157-5449622 82 27
chr1:5474436-5475717 0 20
chr1:5489820-5491101 4 60
chr1:5518576-5519857 11 29
chr1:5536274-5537555 1 17
chr1:5537628-5538909 13 17
chr1:5554928-5556209 2 27
chr1:5611183-5612464 21 23
chr1:5612838-5614119 8 20
chr1:5653009-5654290 15 16
chr1:5657124-5658411 43 5
chr1:5671140-5672421 14 48
chr1:5709062-5710343 2 36
chr1:5744738-5746019 5 8
chr1:5753082-5754363 5 0
chr1:5837943-5839593 19 30
chr1:5840903-5842184 0 23
chr1:5855770-5857051 9 67
chr1:5887481-5889257 51 56
chr1:5893205-5894486 8 15
chr1:5908604-5909885 1 0
chr1:5912518-5913799 7 14
chr1:5915744-5917442 57 46
chr1:5922429-5923710 4 20
chr1:5948116-5949447 59 15
chr1:6007533-6008814 1 19
chr1:6049979-6051260 30 1
chr1:6053497-6054778 21 15
chr1:6087710-6089015 12 29
chr1:6099908-6101189 11 13
chr1:6105521-6106802 11 17
chr1:6128641-6129922 40 7
chr1:6133185-6134466 21 1
chr1:6133783-6135242 70 10
chr1:6157569-6158850 21 26
chr1:6184526-6185807 39 19
chr1:6194159-6195440 17 33
chr1:6196201-6197482 2 14
chr1:6214193-6215474 10 19
chr1:6226797-6228078 12 35
chr1:6227313-6228594 2 17
chr1:6230491-6231772 34 6
chr1:6240661-6241942 1 38
chr1:6244562-6245843 1 9
chr1:6258862-6260143 22 7
chr1:6265414-6266760 37 4
chr1:6284360-6285647 20 5
chr1:6294055-6295336 0 16
chr1:6297036-6298839 23 51
chr1:6325867-6327148 4 24
chr1:6353930-6355211 3 25
chr1:6359566-6360847 35 9
chr1:6360986-6362768 35 71
chr1:6392387-6393668 9 13
chr1:6413673-6415015 41 18
chr1:6445222-6446627 24 45
chr1:6473767-6475428 41 48
chr1:6524936-6526217 6 8
chr1:6534478-6535759 11 9
chr1:6535199-6536480 5 17
chr1:6551233-6552681 37 15
chr1:6552129-6553410 2 28
chr1:6558661-6559942 7 0
chr1:6585264-6586545 8 4
chr1:6614547-6615828 10 3
chr1:6647757-6649261 17 4
chr1:6655062-6656343 15 6
chr1:6659108-6660663 78 19
chr1:6660610-6662163 116 46
chr1:6663465-6664746 15 12
chr1:6681086-6682367 8 9
chr1:6697390-6698671 13 5
chr1:6726889-6728170 30 3
chr1:6846392-6847673 0 30
chr1:6846899-6848180 0 9
chr1:6864300-6865581 0 0
chr1:6974555-6975836 19 2
chr1:6974966-6976247 32 1
chr1:7023599-7024880 5 23
chr1:7075320-7076601 8 2
chr1:7076452-7077733 4 0
chr1:7086458-7087739 14 5
chr1:7135145-7136426 5 26
chr1:7325257-7326538 21 28
chr1:7339427-7340708 7 12
chr1:7340262-7341543 27 18
chr1:7360616-7361897 2 14
chr1:7375170-7376451 11 13
chr1:7411470-7412751 9 2
chr1:7461390-7462944 59 36
chr1:7484157-7485438 1 14
chr1:7486499-7487780 27 34
chr1:7505865-7507146 5 4
chr1:7533455-7534736 4 16
chr1:7550952-7552341 38 18
chr1:7591355-7592636 4 14
chr1:7617241-7618522 10 4
chr1:7664478-7665759 3 24
chr1:7685320-7686601 18 33
chr1:7723062-7724343 24 8
chr1:7796214-7797723 63 34
chr1:7797846-7799127 3 19
chr1:7805139-7806640 8 11
chr1:7813127-7814408 1 28
chr1:7845046-7846327 11 3
chr1:7886535-7888007 31 23
chr1:7892603-7893884 2 0
chr1:7929052-7930563 86 99
chr1:7947666-7949155 16 19
chr1:8000241-8001718 35 15
chr1:8013607-8014888 12 22
chr1:8021404-8022920 33 61
chr1:8059499-8060780 0 11
chr1:8092999-8094280 7 21
chr1:8093397-8094678 7 21
chr1:8105969-8107666 48 38
chr1:8137101-8138382 12 28
chr1:8154681-8155962 4 3
chr1:8156448-8158062 30 18
chr1:8224699-8225980 0 1
chr1:8227663-8228944 8 19
chr1:8253731-8255012 14 1
chr1:8254539-8255820 24 12
chr1:8257415-8258850 61 10
chr1:8261514-8262795 5 49
chr1:8271603-8272954 8 42
chr1:8276825-8278106 0 26
chr1:8383874-8385155 8 9
chr1:8384531-8385812 25 5
chr1:8433628-8434982 8 20
chr1:8437272-8438553 3 15
chr1:8449129-8450410 1 2
chr1:8524983-8526264 2 1
chr1:8598790-8600071 0 20
chr1:8638580-8639861 2 0
chr1:8684021-8685302 0 31
chr1:8701124-8702405 3 0
chr1:8715617-8716898 2 0
chr1:8810953-8812234 1 17
chr1:8929776-8931057 7 5
chr1:8933153-8934470 7 8
chr1:8937825-8939106 24 20
chr1:9002348-9003629 1 2
chr1:9003988-9005269 19 0
chr1:9077685-9078966 8 1
chr1:9120494-9121775 4 34
chr1:9164045-9165326 13 11
chr1:9164572-9165923 14 11
chr1:9241492-9242832 192 58
chr1:9266748-9268032 2 14
chr1:9302293-9303574 15 1
chr1:9304936-9306217 7 26
chr1:9335087-9336368 38 7
chr1:9335487-9336786 34 10
chr1:9375445-9376726 11 27
chr1:9380414-9381933 39 47
chr1:9432404-9433685 4 3
chr1:9497865-9499146 13 26
chr1:9500862-9502143 8 4
chr1:9508521-9509802 11 3
chr1:9657759-9659040 28 24
chr1:9660667-9661948 13 53
chr1:9688291-9689877 9 34
chr1:9730520-9732430 29 32
chr1:9746823-9748244 34 95
chr1:9750220-9751501 9 12
chr1:9750624-9751925 9 13
chr1:9759911-9761345 33 52
chr1:9778726-9780106 57 66
chr1:9781211-9782492 15 46
chr1:9789912-9791193 26 60
chr1:9790401-9791695 24 106
chr1:9826045-9827525 16 51
chr1:9952572-9953853 21 22
chr1:10002114-10003395 6 13
chr1:10002549-10003971 34 32
chr1:10092420-10093701 11 32
chr1:10092838-10094119 8 39
chr1:10132147-10133428 18 6
chr1:10233158-10234439 51 31
chr1:10233785-10235066 12 38
chr1:10239091-10240394 13 0
chr1:10282188-10283469 0 2
chr1:10363248-10364529 3 17
chr1:10377564-10378845 6 1
chr1:10385111-10386981 44 48
chr1:10396339-10397620 1 36
chr1:10430616-10431897 11 8
chr1:10433971-10435252 16 8
chr1:10436111-10437392 11 1
chr1:10463476-10464886 27 8
chr1:10475713-10476994 4 0
chr1:10588055-10589336 45 25
chr1:10675328-10676867 67 11
chr1:10685968-10687249 4 21
chr1:10713814-10715095 32 74
chr1:10734926-10736207 11 0
chr1:10765320-10766601 29 11
chr1:10804125-10805667 178 159
chr1:10820271-10821552 11 45
chr1:10829610-10830891 8 37
chr1:10882899-10884180 1 7
chr1:10884678-10885959 14 33
chr1:10887945-10889534 8 8
chr1:10889500-10890781 6 1
chr1:10890187-10891742 46 22
chr1:10956635-10957916 6 7
chr1:10957124-10958405 11 25
chr1:10957638-10958919 7 23
chr1:10960501-10961782 32 23
chr1:10961206-10962487 28 22
chr1:10999301-11000582 14 15
chr1:10999726-11001007 28 21
chr1:11013248-11014529 4 19
chr1:11025396-11026677 5 3
chr1:11105683-11106964 20 30
chr1:11115672-11116953 4 8
chr1:11141415-11142696 2 11
chr1:11186993-11188547 15 20
chr1:11249462-11250743 0 33
chr1:11372396-11373677 0 3
chr1:11399516-11400797 1 15
chr1:11434606-11435887 0 7
chr1:11465769-11467050 0 34
chr1:11487727-11489008 30 10
chr1:11545509-11546790 1 27
chr1:11547890-11549171 5 10
chr1:11557643-11558924 14 35
chr1:11558162-11559443 5 28
chr1:11558876-11560157 1 6
chr1:11561130-11562581 8 83
chr1:11571853-11573182 2 20
chr1:11574877-11576280 4 6
chr1:11582101-11583382 18 54
chr1:11582551-11583832 11 52
chr1:11590686-11592350 49 42
chr1:11617211-11618492 1 0
chr1:11639487-11640768 0 49
chr1:11657929-11659210 10 8
chr1:11685309-11686590 16 37
chr1:11708613-11709894 14 20
chr1:11709818-11711099 2 15
chr1:11717691-11719331 21 54
chr1:11766059-11767340 18 20
chr1:11772106-11773387 0 9
chr1:11799880-11801464 17 14
chr1:11809200-11810481 26 8
chr1:11849741-11851022 3 7
chr1:11850513-11851794 13 11
chr1:11865428-11866777 55 44
chr1:11896369-11897650 21 45
chr1:11898866-11900147 4 17
chr1:11899617-11901026 46 36
chr1:11900425-11901706 12 11
chr1:11907510-11908791 5 34
chr1:11909842-11911123 3 11
chr1:11919172-11920460 29 16
chr1:11932080-11933361 14 1
chr1:11998510-12000077 69 32
chr1:12017569-12019225 38 5
chr1:12024133-12025414 9 13
chr1:12064922-12066203 1 0
chr1:12066070-12067351 7 35
chr1:12069053-12070345 11 22
chr1:12088762-12090043 19 22
chr1:12147914-12149195 8 25
chr1:12156093-12157374 19 0
chr1:12169351-12170632 24 16
chr1:12238591-12239872 8 30
chr1:12252009-12253290 18 9
chr1:12262261-12263542 2 16
chr1:12266119-12267856 40 62
chr1:12316895-12318176 3 24
chr1:12317433-12318714 31 21
chr1:12320158-12321445 12 1
chr1:12320932-12322213 10 12
chr1:12336760-12338041 1 37
chr1:12353002-12354283 4 6
chr1:12364025-12365306 1 1
chr1:12367569-12369191 21 5
chr1:12378706-12379987 1 27
chr1:12401943-12403224 19 10
chr1:12408509-12409790 4 1
chr1:12415918-12417199 5 8
chr1:12445412-12446693 4 4
chr1:12507383-12508664 1 3
chr1:12532161-12533442 17 2
chr1:12537974-12539255 4 44
chr1:12540303-12541685 47 4
chr1:12559370-12560651 9 10
chr1:12587569-12588850 27 37
chr1:12608465-12609746 16 16
chr1:12632138-12633419 8 2
chr1:12645887-12647168 5 0
chr1:12656064-12657345 13 13
chr1:12678476-12680304 34 35
chr1:12724574-12725855 16 13
chr1:12725094-12726375 12 9
chr1:12763162-12764605 4 54
chr1:12770686-12771967 1 9
chr1:12772501-12773782 45 12
chr1:12773380-12774661 9 0
chr1:12775658-12776939 13 8
chr1:12811173-12812454 23 0
chr1:12834676-12835957 4 18
chr1:12852714-12854244 2 26
chr1:12860232-12861513 16 28
chr1:12867782-12869063 28 14
chr1:12870332-12871613 5 3
chr1:12887420-12888701 2 17
chr1:12898530-12899811 0 29
chr1:12918511-12919792 36 2
chr1:12918952-12920233 19 3
chr1:13172124-13173405 0 34
chr1:13182438-13183719 9 34
chr1:13183280-13184561 7 7
chr1:13183768-13185049 19 0
chr1:13848146-13849427 0 102
chr1:13849399-13850680 11 18
chr1:13850219-13851500 19 38
chr1:13882344-13883694 1 0
chr1:13886630-13887911 5 3
chr1:13902224-13903505 5 11
chr1:13951581-13952862 0 36
chr1:14033521-14034802 1 0
chr1:14056907-14058188 0 0
chr1:14124933-14126214 13 3
chr1:14199138-14200419 26 3
chr1:14199578-14200859 21 3
chr1:14311576-14312857 17 0
chr1:14381857-14383138 21 1
chr1:14404046-14405327 6 1
chr1:14449012-14450293 0 5
chr1:14487068-14488349 25 19
chr1:14517405-14518686 0 16
chr1:14530964-14532245 0 4
chr1:14608232-14609513 7 10
chr1:14630040-14631321 14 3
chr1:14658354-14659635 6 0
chr1:14672151-14673586 45 9
chr1:14699326-14700607 0 0
chr1:14802996-14804277 18 0
chr1:14830936-14832217 13 25
chr1:14845111-14846392 3 8
chr1:14887023-14888304 4 0
chr1:14923407-14924688 2 0
chr1:14932996-14934277 0 5
chr1:14951897-14953178 20 1
chr1:14991422-14992703 9 8
chr1:15058991-15060272 9 15
chr1:15068074-15069509 18 26
chr1:15103685-15104966 1 26
chr1:15148781-15150062 44 16
chr1:15169845-15171126 9 24
chr1:15207267-15208548 0 4
chr1:15233435-15234782 59 17
chr1:15236533-15237814 10 5
chr1:15237242-15238523 22 4
chr1:15255873-15257154 4 39
chr1:15256514-15257795 17 18
chr1:15269762-15271043 4 25
chr1:15271998-15273279 10 12
chr1:15272437-15273718 21 3
chr1:15283430-15284711 24 17
chr1:15295006-15296287 26 26
chr1:15353681-15354962 8 0
chr1:15360299-15361835 55 24
chr1:15385433-15386714 4 0
chr1:15389960-15391487 74 14
chr1:15427467-15428748 7 6
chr1:15438336-15439617 24 5
chr1:15504041-15505322 3 39
chr1:15532488-15533769 8 4
chr1:15550365-15551734 33 0
chr1:15563041-15564322 12 14
chr1:15615249-15616820 101 92
chr1:15638128-15639409 8 28
chr1:15653307-15654588 10 10
chr1:15671367-15673138 54 37
chr1:15672594-15673875 15 17
chr1:15678361-15679768 165 108
chr1:15681864-15683440 8 33
chr1:15714233-15715514 1 8
chr1:15742491-15743772 8 7
chr1:15743032-15744313 31 22
chr1:15811575-15812856 0 19
chr1:15855903-15857184 3 8
chr1:15914272-15915553 10 29
chr1:15986354-15987635 1 6
chr1:16045502-16046783 1 4
chr1:16051310-16052591 11 32
chr1:16056153-16057461 40 6
chr1:16075955-16077236 8 5
chr1:16090947-16092228 12 30
chr1:16091639-16092920 17 28
chr1:16125114-16126395 7 3
chr1:16126040-16127321 9 19
chr1:16161064-16162345 18 48
chr1:16219127-16220489 18 5
chr1:16254038-16255651 5 2
chr1:16263701-16265002 29 15
chr1:16264637-16265918 5 6
chr1:16268911-16270286 48 60
chr1:16276258-16277539 11 15
chr1:16278417-16279698 26 9
chr1:16278814-16280281 35 19
chr1:16311613-16313149 41 66
chr1:16331198-16332479 10 24
chr1:16352518-16353799 15 9
chr1:16356156-16357437 0 0
chr1:16374089-16375370 33 33
chr1:16374645-16376031 7 24
chr1:16382702-16383983 12 50
chr1:16388000-16389281 35 13
chr1:16408103-16409384 9 0
chr1:16429901-16431182 4 15
chr1:16457785-16459281 16 28
chr1:16459913-16461314 37 34
chr1:16463867-16465148 13 25
chr1:16464922-16466211 31 15
chr1:16471363-16472932 162 115
chr1:16478663-16479944 20 21
chr1:16479140-16480421 17 27
chr1:16481539-16483027 56 61
chr1:16490490-16491771 2 27
chr1:16499494-16500865 86 53
chr1:16507872-16509153 10 15
chr1:16514683-16515964 11 12
chr1:16515183-16516464 8 3
chr1:16528410-16529757 8 31
chr1:16531864-16533238 13 20
chr1:16544377-16545760 36 42
chr1:16562982-16564263 7 1
chr1:16735190-16736506 29 35
chr1:16769801-16771082 1 17
chr1:16784963-16786244 6 27
chr1:16859834-16861115 1 19
chr1:16920483-16921764 12 2
chr1:16957546-16958827 18 51
chr1:16975222-16976503 12 10
chr1:17012784-17014065 10 18
chr1:17053481-17054762 14 21
chr1:17091666-17092947 1 2
chr1:17106738-17108019 2 16
chr1:17197010-17198291 22 3
chr1:17211250-17212531 0 0
chr1:17222034-17223315 0 18
chr1:17279318-17280599 20 4
chr1:17299099-17300380 5 8
chr1:17301065-17302429 10 6
chr1:17303116-17304397 4 5
chr1:17331023-17332363 18 20
chr1:17338994-17340275 0 0
chr1:17353638-17354977 4 26
chr1:17389217-17390738 47 74
chr1:17401602-17402883 29 4
chr1:17403810-17405091 9 28
chr1:17420027-17421308 27 8
chr1:17432563-17433844 7 4
chr1:17447931-17449212 16 55
chr1:17516212-17517493 17 10
chr1:17534068-17535466 27 11
chr1:17558679-17559960 5 48
chr1:17559130-17560539 28 105
chr1:17566339-17567620 2 2
chr1:17584781-17586062 6 0
chr1:17592090-17593371 2 3
chr1:17606575-17607856 6 0
chr1:17658965-17660246 5 0
chr1:17674333-17675708 32 13
chr1:17685188-17686487 11 2
chr1:17707011-17708292 3 9
chr1:17718126-17719407 17 24
chr1:17733937-17735296 14 49
chr1:17734585-17735866 5 8
chr1:17759021-17760302 14 7
chr1:17766917-17768198 14 5
chr1:17812812-17814093 3 13
chr1:17813815-17815096 3 0
chr1:17828692-17829973 1 25
chr1:17846251-17847532 23 6
chr1:17913762-17915043 5 22
chr1:17925662-17926943 2 1
chr1:17949494-17950775 2 4
chr1:17956508-17957789 7 0
chr1:17981947-17983228 8 16
chr1:17985573-17986854 0 25
chr1:18043474-18044755 1 10
chr1:18048183-18049516 10 18
chr1:18060430-18061711 1 3
chr1:18094604-18095885 13 13
chr1:18124397-18125678 5 9
chr1:18166617-18167898 1 28
chr1:18182069-18183350 24 4
chr1:18193307-18194588 8 10
chr1:18199902-18201435 24 56
chr1:18200971-18202252 4 7
chr1:18230780-18232061 0 6
chr1:18231803-18233084 4 1
chr1:18239571-18240852 16 49
chr1:18239986-18241586 16 59
chr1:18253117-18254398 12 14
chr1:18275225-18276506 18 0
chr1:18283812-18285269 26 18
chr1:18321986-18323267 8 0
chr1:18347369-18348650 14 17
chr1:18348011-18349292 12 19
chr1:18367366-18368647 0 1
chr1:18391322-18392603 0 11
chr1:18392624-18393905 10 18
chr1:18456248-18457529 19 1
chr1:18469623-18471012 10 20
chr1:18492237-18493518 21 1
chr1:18607989-18609270 0 25
chr1:18609167-18610737 26 20
chr1:18616855-18618289 17 19
chr1:18620881-18622162 0 17
chr1:18638139-18639420 8 27
chr1:18646000-18647281 4 18
chr1:18675736-18677017 0 21
chr1:18687427-18688708 9 0
chr1:18691364-18692645 17 25
chr1:18759179-18760460 11 16
chr1:18780233-18781514 0 2
chr1:18807010-18808291 9 63
chr1:18855380-18856661 17 0
chr1:18883859-18885140 10 10
chr1:18884460-18885741 21 6
chr1:18944604-18945885 6 7
chr1:18956306-18957587 3 7
chr1:19000736-19002017 11 22
chr1:19073574-19074855 5 31
chr1:19119996-19121277 26 20
chr1:19192128-19193409 3 8
chr1:19214401-19215682 12 4
chr1:19235694-19236975 5 8
chr1:19243473-19244754 12 6
chr1:19244261-19245542 2 24
chr1:19244653-19245934 2 14
chr1:19253027-19254314 139 122
chr1:19313451-19314732 12 0
chr1:19324030-19325311 6 27
chr1:19337029-19338386 58 110
chr1:19360030-19361750 81 88
chr1:19368942-19370223 5 20
chr1:19371505-19372786 4 5
chr1:19381108-19382389 0 9
chr1:19393393-19394674 2 5
chr1:19402695-19403976 5 5
chr1:19407382-19408733 86 28
chr1:19411498-19412779 5 1
chr1:19441426-19442707 5 44
chr1:19443174-19444455 7 5
chr1:19443750-19445031 7 6
chr1:19445513-19446930 4 13
chr1:19448704-19449996 9 2
chr1:19477889-19479170 7 25
chr1:19480906-19482187 19 5
chr1:19481386-19482667 14 5
chr1:19482558-19483839 14 16
chr1:19487564-19488845 17 2
chr1:19488352-19489633 3 10
chr1:19523744-19525025 6 12
chr1:19536014-19537295 17 30
chr1:19546600-19547881 13 4
chr1:19565972-19567397 11 9
chr1:19583354-19584635 18 21
chr1:19612409-19613690 5 1
chr1:19652233-19653695 35 19
chr1:19662679-19663961 13 47
chr1:19675453-19676734 24 0
chr1:19678208-19679489 13 22
chr1:19721739-19723020 2 16
chr1:19763841-19765122 16 17
chr1:19835478-19836759 29 48
chr1:19922861-19924142 6 16
chr1:19974502-19975783 4 3
chr1:19991791-19993072 0 0
chr1:20003781-20005062 33 7
chr1:20072474-20073821 13 30
chr1:20076492-20077823 29 84
chr1:20084029-20085310 11 7
chr1:20130699-20131980 8 1
chr1:20186587-20187868 18 36
chr1:20190758-20192039 9 3
